order_id,customer_id,product_id,order_date,quantity,unit_price,discount_rate,discount_amount,final_unit_price,total_amount,total_cost,gross_profit,payment_method,order_status,sales_channel,warehouse,is_returned
1,152,8,2024-08-03,1,49,0,0.0,49.0,49.0,31.84,17.16,Credit Card,Shipped,Alexa,ONT8 - Ontario CA,N
2,166,12,2024-08-05,2,699,0,0.0,699.0,1398.0,706.0,692.0,Gift Card,Processing,Mobile App,ONT8 - Ontario CA,N
3,116,74,2024-09-01,2,25,0,0.0,25.0,50.0,30.1,19.9,Gift Card,Shipped,Mobile App,MDW2 - Chicago IL,N
4,183,11,2023-05-23,2,1399,0,0.0,1399.0,2798.0,1599.5,1198.5,Buy Now Pay Later,Processing,Mobile App,ATL6 - Atlanta GA,N
5,41,47,2024-04-17,1,199,0,0.0,199.0,199.0,100.42,98.58,Amazon Pay,Returned,Website,SEA6 - Seattle WA,Y
6,166,43,2024-03-02,1,49,0,0.0,49.0,49.0,30.71,18.29,Amazon Pay,Delivered,Mobile App,ATL6 - Atlanta GA,N
7,39,43,2023-12-18,1,49,5,2.45,46.55,46.55,30.71,15.84,Amazon Pay,Delivered,Mobile App,JFK8 - New York NY,N
8,153,11,2023-11-04,1,1399,0,0.0,1399.0,1399.0,799.75,599.25,Amazon Pay,Returned,Mobile App,SEA6 - Seattle WA,Y
9,176,68,2024-11-07,1,10,5,0.5,9.5,9.5,4.94,4.56,Credit Card,Delivered,Website,JFK8 - New York NY,N
10,88,63,2022-11-14,1,15,20,3.0,12.0,12.0,9.65,2.35,PayPal,Delivered,Website,ATL6 - Atlanta GA,N
11,190,68,2022-09-26,1,10,5,0.5,9.5,9.5,4.94,4.56,Credit Card,Processing,Website,SEA6 - Seattle WA,N
12,198,80,2024-06-15,3,18,0,0.0,18.0,54.0,29.07,24.93,Credit Card,Delivered,Mobile App,DAL7 - Dallas TX,N
13,157,37,2023-04-25,3,59,10,5.9,53.1,159.3,86.07,73.23,Credit Card,Shipped,Mobile App,DAL7 - Dallas TX,N
14,50,48,2024-06-21,2,19,5,0.95,18.05,36.1,19.72,16.38,Credit Card,Shipped,Website,ATL6 - Atlanta GA,N
15,108,21,2022-10-11,3,99,10,9.9,89.1,267.3,155.88,111.42,Credit Card,Cancelled,Mobile App,MDW2 - Chicago IL,N
16,142,14,2022-09-13,2,129,0,0.0,129.0,258.0,139.52,118.48,Amazon Pay,Delivered,Website,ATL6 - Atlanta GA,N
17,38,56,2024-07-12,1,17,15,2.55,14.45,14.45,8.94,5.51,Gift Card,Cancelled,Website,DAL7 - Dallas TX,N
18,129,48,2024-02-07,1,19,20,3.8,15.2,15.2,9.86,5.34,Credit Card,Delivered,Website,SEA6 - Seattle WA,N
19,167,43,2023-08-11,3,49,0,0.0,49.0,147.0,92.13,54.87,Debit Card,Cancelled,Alexa,SEA6 - Seattle WA,N
20,121,58,2022-02-08,2,22,20,4.4,17.6,35.2,20.44,14.76,PayPal,Delivered,Mobile App,SEA6 - Seattle WA,N
21,156,68,2023-05-02,1,10,10,1.0,9.0,9.0,4.94,4.06,Credit Card,Delivered,Website,ATL6 - Atlanta GA,N
22,118,9,2022-02-03,1,99,15,14.85,84.15,84.15,58.13,26.02,Debit Card,Processing,Mobile App,MDW2 - Chicago IL,N
23,110,1,2024-05-03,2,999,0,0.0,999.0,1998.0,1028.48,969.52,Amazon Pay,Delivered,Mobile App,MDW2 - Chicago IL,N
24,18,68,2024-11-05,2,10,10,1.0,9.0,18.0,9.88,8.12,Credit Card,Shipped,Mobile App,SEA6 - Seattle WA,N
25,100,48,2022-05-19,1,19,0,0.0,19.0,19.0,9.86,9.14,Amazon Pay,Delivered,Mobile App,ATL6 - Atlanta GA,N
26,189,43,2023-11-25,1,49,0,0.0,49.0,49.0,30.71,18.29,Credit Card,Returned,Mobile App,DAL7 - Dallas TX,Y
27,179,62,2022-05-10,2,195,10,19.5,175.5,351.0,198.08,152.92,Gift Card,Returned,Website,JFK8 - New York NY,Y
28,12,26,2023-09-28,4,449,5,22.45,426.55,1706.2,1048.88,657.32,Buy Now Pay Later,Shipped,Mobile App,MDW2 - Chicago IL,N
29,10,25,2022-04-08,1,499,10,49.9,449.1,449.1,283.08,166.02,Credit Card,Cancelled,Website,MDW2 - Chicago IL,N
