product_id,product_name,category,unit_price,unit_cost,gross_margin_pct,supplier_country,is_prime_eligible
1,iPhone 15 Pro,Electronics,999,514.24,48.5,China,Y
2,Samsung Galaxy S24,Electronics,849,390.95,54.0,Japan,N
3,MacBook Air M3,Electronics,1299,721.23,44.5,Japan,Y
4,iPad Pro 12.9,Electronics,1099,599.23,45.5,Taiwan,Y
5,Sony WH-1000XM5 Headphones,Electronics,349,188.6,46.0,China,Y
6,Apple Watch Series 9,Electronics,399,237.58,40.5,Japan,Y
7,Kindle Paperwhite,Electronics,139,75.28,45.8,USA,Y
8,Echo Dot 5th Gen,Electronics,49,31.84,35.0,Vietnam,N
9,Ring Video Doorbell,Electronics,99,58.13,41.3,Vietnam,N
10,Bose SoundLink Speaker,Electronics,149,69.24,53.5,USA,Y
11,Dell XPS 15 Laptop,Computers,1399,799.75,42.8,USA,Y
12,HP Pavilion Desktop,Computers,699,353.0,49.5,Japan,Y
13,Logitech MX Master Mouse,Computers,99,52.09,47.4,Germany,Y
14,Mechanical Keyboard,Computers,129,69.76,45.9,Germany,N
15,27-inch 4K Monitor,Computers,449,210.96,53.0,Japan,Y
16,USB-C Hub 7-in-1,Computers,49,30.41,37.9,Japan,Y
17,External SSD 1TB,Computers,89,47.71,46.4,China,N
18,Webcam 4K,Computers,79,40.91,48.2,Vietnam,N
19,Gaming Chair,Computers,249,132.77,46.7,USA,Y
20,Standing Desk,Computers,399,213.61,46.5,Japan,Y
21,Instant Pot Duo 7-in-1,Home & Kitchen,99,51.96,47.5,China,N
22,Ninja Air Fryer,Home & Kitchen,129,59.78,53.7,USA,Y
23,Keurig K-Elite,Home & Kitchen,149,79.92,46.4,Japan,Y
24,Dyson V15 Vacuum,Home & Kitchen,649,397.42,38.8,Germany,Y
25,iRobot Roomba j7,Home & Kitchen,499,283.08,43.3,Germany,Y
26,KitchenAid Stand Mixer,Home & Kitchen,449,262.22,41.6,Vietnam,Y
27,Nespresso Vertuo,Home & Kitchen,199,124.32,37.5,Vietnam,Y
28,Le Creuset Dutch Oven,Home & Kitchen,349,224.64,35.6,Germany,Y
29,Vitamix Blender,Home & Kitchen,449,233.63,48.0,Germany,Y
